machine_id,product_id,load_percent,speed_percent,ambient_temperature_c,machine_temperature_c,maintenance_age_days,cycle_time_sec,shift,predicted_energy_kwh,predicted_production_units,predicted_defect_rate,energy_per_unit,predicted_energy_cost_inr
HEAT_01,P001,70,100,28,65.8,30,45,Morning,50.212443884102505,509.0106677220486,0.0068754678349033,0.09864713466382911,426.8057730148713
HEAT_01,P001,72,100,28,66.39999999999999,30,45,Morning,50.455338468733736,509.5282538960337,0.006907459841628,0.09902363231662686,428.8703769842368
HEAT_01,P001,70,95,28,65.8,30,45,Morning,50.212443884102505,500.6100286114863,0.0068754678349033,0.10030251296278246,426.8057730148713
HEAT_01,P001,72,95,28,66.39999999999999,30,45,Morning,50.455338468733736,501.1276147854714,0.006907459841628,0.10068361227774936,428.8703769842368
HEAT_01,P001,74,100,28,67.0,30,45,Morning,52.027713400966775,510.3548777846629,0.0067050670177149,0.10194418759512501,442.2355639082176
HEAT_01,P001,82,100,28,69.46,30,45,Morning,54.39480283040612,528.116109358965,0.0065721527951653,0.10299781026644184,462.355824058452
HEAT_01,P001,80,100,28,68.8,30,45,Morning,53.78991445846816,521.9970963636156,0.0065126486117117,0.10304638633659925,457.2142728969793
HEAT_01,P001,74,95,28,67.0,30,45,Morning,52.027713400966775,501.4656466412805,0.0067050670177149,0.1037513013093485,442.2355639082176
HEAT_01,P001,78,100,28,68.2,30,45,Morning,53.5247802198786,514.9117113031973,0.0065521757992506,0.10394943258216438,454.9606318689681
HEAT_01,P001,76,100,28,67.6,30,45,Morning,53.331942939256514,513.0185806953962,0.0066808373765067,0.10395713712155438,453.32151498368034
HEAT_01,P001,84,100,28,70.24,30,45,Morning,56.56124850107583,540.8748221195747,0.0078092068088363,0.10457363920070117,480.77061225914457
HEAT_01,P001,80,95,28,68.8,30,45,Morning,53.78991445846816,512.803252121841,0.0065126486117117,0.1048938637496936,457.2142728969793
HEAT_01,P001,82,95,28,69.46,30,45,Morning,54.39480283040612,516.2858626243499,0.0065721527951653,0.10535791655016484,462.355824058452
HEAT_01,P001,78,95,28,68.2,30,45,Morning,53.5247802198786,506.1179096750983,0.0065521757992506,0.10575555457865295,454.9606318689681
HEAT_01,P001,76,95,28,67.6,30,45,Morning,53.331942939256514,504.1293495520138,0.0066808373765067,0.10579019647764816,453.32151498368034
HEAT_01,P001,84,95,28,70.24,30,45,Morning,56.56124850107583,525.6661246361912,0.0078244614993152,0.10759918862989576,480.77061225914457
HEAT_01,P001,86,100,28,71.14,30,45,Morning,60.52870028956807,555.1994928956883,0.0091005464167031,0.10902153381638677,514.4939524613286
HEAT_01,P001,86,95,28,71.14,30,45,Morning,60.52870028956807,532.430482724736,0.009124650612142,0.11368376201867676,514.4939524613286
HEAT_01,P001,82,90,28,69.46,30,45,Morning,54.44817906537806,478.35799251596166,0.0073178521445136,0.11382307794002472,462.8095220557136
HEAT_01,P001,84,90,28,70.24,30,45,Morning,56.53199307984193,491.3726461813179,0.008235588010827,0.11504912517857468,480.5219411786565
HEAT_01,P001,80,90,28,68.8,30,45,Morning,53.82362074056216,459.75373937193353,0.0072945316105615,0.1170705447966345,457.5007762947784
HEAT_01,P001,78,90,28,68.2,30,45,Morning,53.5247802198786,451.36273817106326,0.0073874876059025,0.11858484472325469,454.9606318689681
HEAT_01,P001,86,90,28,71.14,30,45,Morning,60.70631272663759,509.3933176141826,0.0094958331758653,0.11917375165218971,516.0036581764195
HEAT_01,P001,88,100,28,72.16,30,45,Morning,67.43337081086094,561.1277982726594,0.0109409123555198,0.1201747106781086,573.1836518923179
HEAT_01,P001,84,85,28,70.24,30,45,Morning,56.23743639150887,462.7681348798904,0.0078989118687241,0.12152400338909479,478.0182093278253
HEAT_01,P001,88,95,28,72.16,30,45,Morning,67.49400311358072,550.3554186886965,0.0108883450229023,0.12263711925358198,573.6990264654361
HEAT_01,P001,86,85,28,71.14,30,45,Morning,61.10973555508229,477.4601145030936,0.0094700398460373,0.12798919469677783,519.4327522181994
HEAT_01,P001,88,90,28,72.16,30,45,Morning,67.6426590946458,520.4187596171506,0.0107947232572861,0.12997736504427232,574.9626023044892
HEAT_01,P001,90,100,28,73.3,30,45,Morning,75.84250135871456,578.9712899225574,0.0129589873963202,0.13099527157704,644.6612615490737
HEAT_01,P001,86,80,28,71.14,30,45,Morning,61.04547910553076,453.8822924641458,0.0093021210568284,0.13449627826217303,518.8865723970115
HEAT_01,P001,90,95,28,73.3,30,45,Morning,75.85137529498255,556.4484905522847,0.0130693799314185,0.13631338135125273,644.7366900073516
HEAT_01,P001,88,85,28,72.16,30,45,Morning,66.98016488129758,482.3441929521422,0.01088387931064,0.13886383594949447,569.3314014910295
HEAT_01,P001,90,90,28,73.3,30,45,Morning,75.75601324501254,527.2913639619517,0.0129530316540299,0.14367011944932773,643.9261125826066
HEAT_01,P001,88,80,28,72.16,30,45,Morning,67.2557478765979,464.7552836199089,0.0109956407544675,0.1447121748735227,571.6738569510821
HEAT_01,P001,90,85,28,73.3,30,45,Morning,75.9386354854275,490.9576470759735,0.0132060025279479,0.15467451405981733,645.4784016261337
HEAT_01,P001,90,80,28,73.3,30,45,Morning,76.00763466930874,467.1406938040982,0.0132204748885938,0.16270822832913712,646.0648946891243
