machine_id,product_id,load_percent,speed_percent,ambient_temperature_c,machine_temperature_c,maintenance_age_days,cycle_time_sec,shift,predicted_energy_kwh,predicted_production_units,predicted_defect_rate,energy_per_unit,predicted_energy_cost_inr
HEAT_01,P001,70,100,28,65.8,30,45,Morning,50.212443884102505,509.0106677220486,0.0068754678349033,0.09864713466382911,426.8057730148713
HEAT_01,P001,72,100,28,66.39999999999999,30,45,Morning,50.455338468733736,509.5282538960337,0.006907459841628,0.09902363231662686,428.8703769842368
HEAT_01,P001,74,100,28,67.0,30,45,Morning,52.027713400966775,510.3548777846629,0.0067050670177149,0.10194418759512501,442.2355639082176
HEAT_01,P001,76,100,28,67.6,30,45,Morning,53.331942939256514,513.0185806953962,0.0066808373765067,0.10395713712155438,453.32151498368034
HEAT_01,P001,78,100,28,68.2,30,45,Morning,53.5247802198786,514.9117113031973,0.0065521757992506,0.10394943258216438,454.9606318689681
HEAT_01,P001,80,100,28,68.8,30,45,Morning,53.78991445846816,521.9970963636156,0.0065126486117117,0.10304638633659925,457.2142728969793
HEAT_01,P001,82,100,28,69.46,30,45,Morning,54.39480283040612,528.116109358965,0.0065721527951653,0.10299781026644184,462.355824058452
HEAT_01,P001,84,100,28,70.24,30,45,Morning,56.56124850107583,540.8748221195747,0.0078092068088363,0.10457363920070117,480.77061225914457
HEAT_01,P001,86,100,28,71.14,30,45,Morning,60.52870028956807,555.1994928956883,0.0091005464167031,0.10902153381638677,514.4939524613286
HEAT_01,P001,88,100,28,72.16,30,45,Morning,67.43337081086094,561.1277982726594,0.0109409123555198,0.1201747106781086,573.1836518923179
HEAT_01,P001,90,100,28,73.3,30,45,Morning,75.84250135871456,578.9712899225574,0.0129589873963202,0.13099527157704,644.6612615490737
